hero_x,hero_y,ene_x,ene_y,dist,ene_mode,ene_success,time
1052.4192,108.18219,162.33424,181.52663,893.1017,wander,false,
1289.5148,42.48967,14.54113,273.87842,1295.8003,wander,false,
169.34415,59.99891,1224.5027,187.96428,1062.8898,wander,false,
407.91537,124.76375,1028.1737,212.63039,626.45105,wander,false,
652.44464,161.65186,803.8591,192.96121,154.61761,arrive,false,
1073.5664,647.68945,1282.565,760.6592,237.5764,arrive,false,
974.2422,706.7168,1351.6991,742.01605,379.10388,arrive,false,
962.47406,598.1888,50.68946,0.39984834,1090.2765,wander,false,
1207.514,565.4164,205.68665,690.27106,1009.5775,wander,false,
27.902443,701.4138,280.3269,88.98654,662.4087,wander,false,
932.4472,641.27325,27.095592,85.16523,1062.5054,wander,false,
1070.6317,526.59155,89.43832,248.30173,1019.89496,wander,false,
1280.2638,416.59833,282.75522,279.8899,1006.8329,wander,false,
141.41849,469.33847,211.28156,380.00452,113.40813,arrive,false,
921.9589,595.0946,64.50474,60.633793,1010.3841,wander,false,
1147.6726,658.0559,117.68287,244.93391,1109.7516,wander,false,
12.072973,654.04974,121.657005,442.07202,238.62778,arrive,false,
256.57202,629.401,212.17719,624.3333,44.68314,arrive,false,
481.45288,547.6462,454.3548,563.8645,31.580692,arrive,false,
655.0651,377.1902,642.5953,393.68787,20.680199,arrive,false,
1093.1058,502.3927,1285.3339,175.58307,379.15186,arrive,false,
1321.1385,413.13733,1284.9509,403.15622,37.538868,arrive,false,
137.10052,253.82593,1327.355,544.36017,1225.2002,wander,false,
322.3688,95.747284,1266.9866,707.9002,1125.6261,wander,false,
